No,Comment ID,Author,Original Comment,Cleaned Comment,Likes,Time Description,Timestamp,Lexicon Sentiment,Lexicon Score,LLM Sentiment,LLM Reason,LLM Model,Language,Ground Truth
1,UgyjxwMa39tL3UIhW6Z4AaABAg,@VivoYs-tv5nc,Lah gw baru umur 8 th tapi aku paham,baru umur th aku paham,0,6 bulan yang lalu,1766639218.197088,negatif,-3.0,positif,Komentar ini menunjukkan bahwa pengguna merasa puas dan paham dengan konten yang disajikan.,meta/llama-3.1-8b-instruct,id,positif
2,UgzSo3PVYz2yg3nLjet4AaABAg,@ShiQ29,"""Gatau gua""
🤨",tidak tahu gua,3,1 tahun yang lalu,1750828018.21792,positif,2.0,netral,"Komentar ini tidak menunjukkan emosi yang jelas, hanya menunjukkan kebingungan atau keheranan.",meta/llama-3.1-8b-instruct,id,netral
3,UgyvxuxOpVa9cV2Dmr94AaABAg,@sirajdimo28,Lo bukan cartoon network juga banyak😅,kamu bukan cartoon network banyak,3,1 tahun yang lalu,1750828018.231978,negatif,-6.0,netral,"Komentar ini tidak menunjukkan emosi positif atau negatif, melainkan hanya menyatakan fakta.",meta/llama-3.1-8b-instruct,id,netral
4,Ugy_t8wZGwI8grYuFLN4AaABAg,@daviansitanggang5679,Çőőľ,,1,1 tahun yang lalu,1750828018.245962,netral,0.0,netral,Komentar tidak memiliki konten yang jelas untuk menganalisis sentimen,meta/llama-3.1-8b-instruct,id,netral
5,Ugzi0Emx8mMrKIxbFad4AaABAg,@RaditGG-064,Di alternatif Univers Disney jadi pake nama itu dan para bocil pun nyari nama itu di google dan pada akhirnya nemu b*kep,alternatif univers disney jadi pake nama bocil nyari nama di google dan pada akhir nemu b kep,1,1 tahun yang lalu,1750828018.260081,negatif,-9.0,negatif,Komentar mengandung kata b*kep yang menunjukkan kekecewaan atau kemarahan,meta/llama-3.1-8b-instruct,id,negatif
6,UgyLjaHDqHyVIyKsGUB4AaABAg,@hrwstudio4104,Familiar kok bro 🙂‍↕️,familiar bro,1,1 tahun yang lalu,1750828018.27272,positif,2.0,netral,"Komentar ini hanya mengungkapkan kejutan atau kekagetan, tidak memiliki emosi positif atau negatif yang jelas.",meta/llama-3.1-8b-instruct,id,netral
7,UgzbbBBKDN9LHUqikJJ4AaABAg,@karistiohalim2075,Kita gak sadar sebarapa suci dan polosnya anak kecil itu,tidak sadar sebarapa suci polos anak kecil,71,1 tahun yang lalu,1750828018.286193,negatif,-13.0,positif,Komentar ini mengungkapkan keheranan dan kekaguman terhadap anak kecil yang dianggap suci dan polos.,meta/llama-3.1-8b-instruct,id,positif
8,UgxWiorlzGQiP_fJ2Op4AaABAg,@Juandry,Ini sama halnya orang nyari disney frozen. Jadi dibuat animasi frozen.,sama hal orang nyari disney frozen jadi buat animasi frozen,48,1 tahun yang lalu,1750828018.300205,netral,0.0,netral,"Komentar ini tidak memiliki sentimen yang jelas, melainkan lebih seperti perbandingan atau komparasi.",meta/llama-3.1-8b-instruct,id,netral
9,Ugz4j4UEZU4uJRC1Y0R4AaABAg,@Jack-l7u1u,Kok kalian ngerti namanya itu apakah kalian pernah nonton video nya gw aja gak ketahuan,kalian ngerti nama apakah kalian pernah nonton video nya saja tidak tahu,4,1 tahun yang lalu,1750828018.3138,negatif,-5.0,netral,"Komentar ini tidak menunjukkan emosi yang jelas, tetapi lebih seperti pertanyaan yang tidak memiliki konteks negatif atau positif.",meta/llama-3.1-8b-instruct,id,netral
10,Ugw717erdN__cVkt8kp4AaABAg,@Balden-does,2 mobil yang kacau itu dia sebenarnya membuka bajau bagian dada dulunya aku dengar ini pas 7 tahun:),mobil kacau dia benar buka bajau bagi dada aku dengar pas tahun,22,1 tahun yang lalu,1750828018.328824,negatif,-9.0,netral,"Komentar ini tidak memiliki sentimen yang jelas, melainkan lebih seperti informasi atau fakta yang disampaikan.",meta/llama-3.1-8b-instruct,id,netral
11,UgwSZPCa524XARPQxK14AaABAg,@joshuawest1995,"Texas ini beda ya, krn bukan comboy, tapi cow....

Hmmm ayo 🗿",texas beda karena bukan comboy cow hmmm ayo,27,1 tahun yang lalu,1750828018.342776,negatif,-4.0,netral,"Komentar ini tidak memiliki sentimen yang jelas, tetapi lebih seperti pertanyaan atau komentar yang tidak memiliki emosi negatif atau positif yang kuat.",meta/llama-3.1-8b-instruct,id,netral
12,UgxjB8D8bxtVv8L8b3B4AaABAg,@sifour7,Siapa yang menggoreng fakta... Kalau browser sekarang bisa melihat gambar-gambar b*kep 😅 coba aja deh.. bisa kok.,siapa goreng fakta kalau browser sekarang lihat gambar gambar b kep coba bisa,1,1 tahun yang lalu,1750828018.356915,negatif,-12.0,negatif,Komentar mengandung kata-kata yang menunjukkan kekecewaan dan kritik terhadap informasi yang disampaikan.,meta/llama-3.1-8b-instruct,id,negatif
13,Ugwhm0UjEIw844Y37vV4AaABAg,@Buur171,Njir kok agak lainnya🗿,njir lain,3,1 tahun yang lalu,1750828018.369917,negatif,-7.0,netral,"Komentar ini tidak menunjukkan emosi yang jelas, hanya menunjukkan kejutan atau perasaan lainnya yang tidak dapat diinterpretasikan sebagai positif atau negatif.",meta/llama-3.1-8b-instruct,id,netral
14,UgzSo3PVYz2yg3nLjet4AaABAg.ADEKO5vw0HnAXr6FDU0k_Y,@exelick1_737,Ada kemungkinan admin Suka nonton gituan 😂,mungkin admin suka nonton gituan,0,2 minggu yang lalu,1781154418.602208,negatif,-5.0,netral,"Komentar ini tidak memiliki sentimen yang jelas, tetapi lebih seperti pernyataan yang tidak memiliki emosi positif atau negatif.",meta/llama-3.1-8b-instruct,id,netral
15,UgwSZPCa524XARPQxK14AaABAg.A94ukSiQReGA9QHKLVc8sJ,@athenashield665,"Cowboy 🤠

Cowgirl 💀",cowboy cowgirl,7,1 tahun yang lalu,1750828018.850556,netral,0.0,netral,"Komentar hanya berisi simbol dan tidak memiliki konten yang dapat diinterpretasikan sebagai sentimen positif, negatif, atau netral.",meta/llama-3.1-8b-instruct,id,netral
16,UgwSZPCa524XARPQxK14AaABAg.A94ukSiQReGA96IsD-JSpA,@JangQrikBosss,Girl 😂,girl,3,1 tahun yang lalu,1750828018.864045,netral,0.0,netral,Komentar hanya mengandung emotikon yang tidak menunjukkan sentimen positif atau negatif,meta/llama-3.1-8b-instruct,id,netral
